Condition,Price,Location,Time,Model,Year,Category
REUSE,1590,PhnomPenh,13-Apr-23,Dream,2020,Allround
New,780,PhnomPenh,6 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP GALP 50 Enduro,2005,Enduro / offroad
New,1250,PhnomPenh,29 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP GALP 50 R,2005,Sport
REUSE,670,PhnomPenh,34 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP GALP 50 Supermotard,2005,Super motard
REUSE,600,PhnomPenh,47 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP PR3 125 Enduro,2015,Enduro / offroad
New,2100,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 125 Enduro Pro,2015,Enduro / offroad
REUSE,3050,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 125 Supermoto,2015,Super motard
New,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 240 Enduro,2015,Enduro / offroad
REUSE,4800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 240 Enduro Pro,2015,Enduro / offroad
REUSE,2850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 240 MX Pro,2015,Cross / motocross
New,400,KampangSpeu,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 240 Supermoto,2015,Super motard
REUSE,1000,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 125,2018,Enduro / offroad
REUSE,360,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 125,2019,Enduro / offroad
REUSE,350,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 125,2020,Enduro / offroad
REUSE,235,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 125,2021,Enduro / offroad
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 240,2018,Enduro / offroad
REUSE,265,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 240,2019,Enduro / offroad
REUSE,1300,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro 240,2020,Enduro / offroad
REUSE,279,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro Pro 125,2018,Enduro / offroad
REUSE,780,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro Pro 125,2020,Enduro / offroad
REUSE,810,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro Pro 240 ,2018,Enduro / offroad
REUSE,330,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro Pro 240 ,2019,Enduro / offroad
REUSE,345,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Enduro Pro 240 ,2020,Enduro / offroad
REUSE,1180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 MX Pro 240,2018,Cross / motocross
REUSE,2180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto 125,2018,Super motard
REUSE,1370,Sihanoukville,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto 125,2020,Super motard
REUSE,1600,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto 240,2018,Super motard
REUSE,5800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto 240,2020,Super motard
REUSE,4350,SiemReab,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto Pro 125,2018,Super motard
REUSE,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto Pro 125,2020,Super motard
REUSE,1650,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto Pro 240,2018,Super motard
REUSE,2150,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR3 Supermoto Pro 240,2020,Super motard
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Enduro,2008,Enduro / offroad
REUSE,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Enduro,2010,Enduro / offroad
REUSE,1150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Enduro,2015,Enduro / offroad
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Enduro Pro,2015,Enduro / offroad
REUSE,750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Enduro Pro,2019,Enduro / offroad
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 SM,2010,Super motard
REUSE,2500,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Supermotard,2005,Super motard
REUSE,780,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Supermoto,2008,Super motard
REUSE,780,Kandal,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Supermoto,2015,Super motard
New,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 125 Trial,2005,Trial
New,2850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 200 Enduro,2008,Enduro / offroad
REUSE,4150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 200 Enduro,2010,Enduro / offroad
New,1750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 200 SM,2010,Super motard
New,1300,SiemReab,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 240 Enduro,2015,Enduro / offroad
New,1850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 240 Enduro Pro,2015,Enduro / offroad
REUSE,2220,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 240 Extreme,2015,Enduro / offroad
REUSE,2250,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 240 Supermoto,2015,Super motard
REUSE,1900,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Enduro,2003,Enduro / offroad
REUSE,1590,PhnomPenh,13-Apr-23,AJP PR4 Enduro Pro 125,2018,Enduro / offroad
New,780,PhnomPenh,6 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP PR4 Enduro Pro 125,2020,Enduro / offroad
New,1250,PhnomPenh,29 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP PR4 Enduro Pro 240,2018,Enduro / offroad
REUSE,670,PhnomPenh,34 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP PR4 Enduro Pro 240,2020,Enduro / offroad
REUSE,600,PhnomPenh,47 áž“áž¶áž‘áž¸áž˜áž»áž“,AJP PR4 Extreme 240,2018,Enduro / offroad
New,2100,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Extreme 240,2020,Enduro / offroad
REUSE,3050,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Supermoto,2003,Super motard
New,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Supermoto Pro 125,2018,Super motard
REUSE,4800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Supermoto Pro 125,2020,Super motard
REUSE,2850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Supermoto Pro 240,2018,Super motard
New,400,KampangSpeu,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Supermoto Pro 240,2020,Super motard
REUSE,1000,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR4 Ultrapassar 240,2018,Enduro / offroad
REUSE,360,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Enduro,2015,Enduro / offroad
REUSE,350,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Enduro,2019,Enduro / offroad
