Ad ID ,Category ,Locations ,Posted ,Size(m2),Bedroom,Bathroom,Link,Title,Price,Post Description,Sub Location,Bedrooms,Bathrooms,Floor
8538993,Condo for Sale,Phnom Penh,06-Jul-23,34,,,https://www.khmer24.com/en/property/new-condo-for-sell-adid-8538993.html,New condo for sell,"$58,000","Very special promotion!! Full price $58,000 but you pay owner $35,000,  and $23,000you can pay with company. It has 1 bedroom Royal Park Condo new condo in Phnom Penh

Floor 6 in front of street 608





management fee $0.9/m2 (around $20 per month)



Location: Toul Kork and it closes to Toul Kork roundabout  and behind Institute of Foreign Language (IFL) street 608….etc





Fully furnished

1 bedroom

1 bathroom

1 Living room

1 Kitchen

1 Hot water

Size: 34.76 sqm





 Motor parking free, Elevator, Gym, Swimming pool, and sky bar.

















Feel free to call or email me (Personal condo) for more information via: 
098266xxx 
ចុចដើម្បីតេ/Click To Call
/ 
017266xxx 
ចុចដើម្បីតេ/Click To Call
 (Telegram)



* ខុនដូ នៅខាងក្រោយវិទ្យាស្ថានភាសាបរទេស បែបទំនើប និងទាន់សម័យ Royal Park Condo ត្រូវការលក់បន្ទន់ពីម្ចាស់ផ្ទាល់តម្លៃពេញ $58,000 ការបង់ប្រាក់ជាមួយម្ចាស់មានភាពងាយស្រួល និងបត់បែន មានទីតាំងស្ថិតនៅភូមិ២, សង្កាត់បឹងកក់២, ខណ្ឌទួលគោក រាជធានីភ្នំពេញ។បញ្ជាក់មានប្លង់រឹងរួចរាល់!

* ទំហំខុនដូ៖ 34.76 m2 

* ខុនដូមាន  បន្ទប់គេង ១ បន្ទប់ទទួលភ្ញៀវ ១ ជាន់ឡៅតឿ ១  និងបន្ទប់ទឹក១។

* ប្លង់រឹង។

* ផ្លូវមុខមានទំហំធំទូលាយ ងាយស្រួលធ្វើដំណើរ ។

មានសំភារៈដូចជា៖ 

-ម៉ាស៊ីនត្រជាក់ ១

-សាឡុង ១

-ទឹកផ្កាឈូក ម៉ាស៊ីនទឹកក្តៅ

 និងទូផ្ទះបាយ ១ឈុត។

* លក្ខណៈរស់នៅទាន់សម័យ ស្រួលរស់នៅ មានសុវត្ថិភាពនិងផាសុខភាព។



លេខទូរសព្ទម្ចាស់ផ្ទាល់ 
098266xxx 
ចុចដើម្បីតេ/Click To Call
 / 
017266xxx 
ចុចដើម្បីតេ/Click To Call
​(Telegram)



* ខុនដូ នៅខាងក្រោយវិទ្យាស្ថានភាសាបរទេស បែបទំនើប និងទាន់សម័យ Royal Park Condo ត្រូវការជួលពីម្ចាស់ផ្ទាល់ ទីតាំងស្ថិតនៅភូមិ២, សង្កាត់បឹងកក់២, ខណ្ឌទួលគោក រាជធានីភ្នំពេញ។

* ទំហំខុនដូ៖ 34.76 m2 តម្លៃលក់ $58,000 ដោយបង់មុន $35,000 និងសល់ $23,000 អាចបង់ជាមួយក្រុមហ៊ុនបន្តដោយគ្មានការប្រាក់។

* ខុនដូមាន  បន្ទប់គេង ១ បន្ទប់ទទួលភ្ញៀវ ១ ជាន់ឡៅតឿ ១  និងបន្ទប់ទឹក១។

* ប្លង់រឹង។

* ផ្លូវមុខមានទំហំធំទូលាយ ងាយស្រួលធ្វើដំណើរ ។

មានសំភារៈដូចជា៖ 

 ម៉ាស៊ីនត្រជាក់ ១

 ទឹកផ្កាឈូក ម៉ាស៊ីនទឹកក្តៅ

 និងទូផ្ទះបាយ ១ឈុត។

* លក្ខណៈរស់នៅទាន់សម័យ ស្រួលរស់នៅ មានសុវត្ថិភាពនិងផាសុខភាព។



លេខទូរសព្ទម្ចាស់ផ្ទាល់ 
098266xxx 
ចុចដើម្បីតេ/Click To Call
 / 
017266xxx 
ចុចដើម្បីតេ/Click To Call",Toul Kork,1.0,1.0,6.0
8517524,Condo for Sale,Phnom Penh,06-Jul-23,58,,,https://www.khmer24.com/en/property/vista-condo-aeon2-urgent-adid-8517524.html,Vista Condo Aeon2 Urgent,"$75,000","ខុនដូសម្រាប់លក់ VISTA Condo

(English Below)

- ទំហំបន្ទប់: 58 m2 បន្ទប់ជ្រុងកែង អាចចូលនៅពីពេលនេះតទៅ

- គ្រឿងសង្ហារឹមដែលបានតំឡើងរួចហើយ៖ ទូដាក់ទូរទស្សន៍និងកញ្ចក់តុបតែងបន្ទប់ទទួលភ្ញៀវ នឹងក្នុងបន្ទប់គេង ទូខោអាវមួយឈុត (សរុបប្រមាន 2000 ដុល្លារ)

- រួមមាន: បន្ទប់គេង បន្ទប់ទឹក បន្ទប់ទទួលភ្ញៀវធំ ផ្ទះបាយទំនើប

- លក្ខណៈពិសេស: ទ្វារអេឡិចត្រូនិចអាចហៅជាវីដេអូ ទៅកាន់ភ្ញៀវនៅខាងក្រៅ

- សេវាកម្មបន្ថែម: អាងហែលទឹក កន្លែងហាត់ប្រាណ ហាងកាហ្វេ Steam Sauna កន្លែងចតរថយន្ត

- ទីតាំង: VISTA CONDO

ស្ថិតក្នុងបុរីវីឡាទួលសង្កែ 7 នាទីពីផ្សារ AEON 2

ទិញពីម្ចាស់ផ្ទាល់ 
0962817xxx 
ចុចដើម្បីតេ/Click To Call
 



......................................................

Condo Unit for Sale (VISTA Condo)

- Size: 58m2, Corner Unit facing AEON 2

- Ready-equipped: Living room table and decoration, bedroom, wardrobe

- Unit Includes: Bedroom, bathroom, big living room and modern kitchen

- Special: Semi-furnished, Video call door connected inside to outside

- Additional services: swimming pool on 19th floor, gym, steam sauna, café and free parking

Location: VISTA Condo, inside Borey Villa Tuol Songke, Kamko city, 7 minutes from AEON 2

- Buy directly from owner and ready to move in

- Call: 
0962817xxx 
ចុចដើម្បីតេ/Click To Call",Sen Sok,,,19.0
9617339,Condo for Sale,Phnom Penh,03-Jul-23,34,,,https://www.khmer24.com/en/property/condo-uk-548-for-sales-adid-9617339.html,Condo UK 548 for Sales,"$42,000","បន្ទប់ខុនដូប្រភេទ Studio (UK Condo 548)
កណ្តាលក្រុមភ្នំពេញ ជាន់ទី១៥ មានសំភារះគ្រប់ ទេសភាព និង ខ្យល់អាកាសល្អ។ ទីតាំងល្អជិត TK Avenue។

តម្លៃ: ៤២០០០ដុល្លា (ចរចារ)



Studio condo (UK Condo 548) for sales under market price. The room is new. The condo unit is on the 15th floor full funitue with nice view n fresh air. The condo is in the prime location, just a short walk from TK Avenue. 

Price: 42000& (Nego)



Contact now for more information.",,,,15.0
9617339,Condo for Sale,Phnom Penh,03-Jul-23,34,,,https://www.khmer24.com/en/property/condo-%E1%9E%9F%E1%9E%98%E1%9E%9A%E1%9E%94%E1%9E%87%E1%9E%9Bcondo-for-rent-the-peak-private-residential-property-code-vbre00586-adid-8099048.html,Condo សម្រាប់ជួល/Condo for Rent (The Peak Private Residential) Property Code: VBRE00586,$800,"Property Code: VBRE00586

Condo សម្រាប់ជួល (The Peak Private Residential)

ទីតាំង៖ សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន

ទំហំ៖ 

បន្ទប់គេង៖3

* Studio: (42.92 – 51.71) sqm

* 1 Bedroom: (58.59 – 71.76) sqm

* 2 Bedroom: (87.89 – 96.14) sqm

* 3 Bedroom: (86.87 – 96.14) sqm

គ្រឿងសម្ភារៈបរិក្ខា៖មានគ្រប់បន្ទប់ល្អៗ

កក់លុយ៖ 2ខែ និងបង់1ខែ (ក្រោយសញ្ញេកុងត្រា)

ទីតាំងនៅជិត៖កោះពេជ្រ

ទីតាំងល្អមានភាពស្ងប់ស្ងាត់ និងមានសុវត្ថិភាពក្នុងការរស់នៅ មានផាសុខភាពល្អ

តំលៃជួល៖  

+studio room: 650$-700$/month (65sqm: 700$/month, 45sqm: 650$/month)

+1bedroom: 800$-900$/month (84sqm: 900$/month, 69sqm: 800$/month)

+2bedroom: 1300$-1500$/month (128sqm= 1500$/month, 2bedroom+study room)

+3bedroom: 1400$-2000$ (138sqm+1650$/month)

English Bellow:

Condo for Rent 

Location: Sangkat Tonle Basak, Khan Chamkar Mon

Condo size:

Surrounding: Dimand Iland

Good location quiet and safe good for living

Rental Price: 

+studio room: 650$-700$/month (65sqm: 700$/month, 45sqm: 650$/month)

+1bedroom: 800$-900$/month (84sqm: 900$/month, 69sqm: 800$/month)

+2bedroom: 1300$-1500$/month (128sqm= 1500$/month, 2bedroom+study room)

+3bedroom: 1400$-2000$ (138sqm+1650$/month)

*Water: 5$/month

*Electric: 0.24$/kwh

Free Property management

Free Internet

Free Parking

☎️ សម្រាប់ព័ត៌មានបន្ថែម/For more information: 

Tel: 
015448xxx 
ចុចដើម្បីតេ/Click To Call
 ( Smart ) / 
011787xxx 
ចុចដើម្បីតេ/Click To Call
 ( Cellcard ) / 
0712222xxx 
ចុចដើម្បីតេ/Click To Call
( Metfone )

Email: 
kim********@gmail.com 
ចុចដើម្បីផ្ញើអ៊ីម៉ែល/Click To Send Email

👉 For the latest information on other properties៖

Please click the link below 👇

Telegram 👉 https://t.me/vbrerealestate

Facebook Page: https://www.facebook.com/VBRE-Real-Estate-
1092666xxx 
ចុចដើម្បីតេ/Click To Call
60503/

Thank you",Chamkar Mon,1.0,,
8134344,Condo for Sale,Phnom Penh,09-Apr-23,57,,,https://www.khmer24.com/en/property/condo-for-sale-57m2-adid-8134344.html,Condo for sale 57m2,"$72,000","Fully furnished condo for sale / rent 

Owner ☎️
0889287xxx 
ចុចដើម្បីតេ/Click To Call
/ Telegram:
0889287xxx 
ចុចដើម្បីតេ/Click To Call

Nice condo (home / office type decoration)

- 9th floor, great view (UK Condo TK, street 329)

- Fully furnished

- Net area 57sqm

- 1 bed room with a king size bed

- 1 small office + 1 sofa bed

- 1 bathroom

- Cable TV, fridge, washer

- Nicely located at crowded area of Tuol Kork, 350m away from Entaratevy High School, close to Zaman School, Block11 and TK Avenue, etc...

- 24/7 security and parking

- Rooftop swimming pool and gym

Rent at net $400/montly or sale at $72,000 (Full legal document)

Owner ☎️
0889287xxx 
ចុចដើម្បីតេ/Click To Call
/ Telegram:
0889287xxx 
ចុចដើម្បីតេ/Click To Call

ទីតាំង UK Condo 329

12152 Phnom Penh, St 329, 28 Street 329, Phnom Penh 12152 

https://goo.gl/maps/qoF54stgPmWbD64F8",,1.0,1.0,9.0
8488161,Condo for Sale,Phnom Penh,09-May-23,33,,,https://www.khmer24.com/en/property/condo-%E1%9E%87%E1%9E%93%E1%9E%9125-%E1%9E%91%E1%9E%9F%E1%9E%97%E1%9E%96%E1%9E%9F%E1%9E%A2%E1%9E%8F-%E1%9E%81%E1%9E%99%E1%9E%9B%E1%9E%8F%E1%9E%9A%E1%9E%87%E1%9E%80-%E1%9E%87%E1%9E%94sky-bar-%E1%9E%87%E1%9E%93%E1%9E%9127-adid-8488161.html,Condo ជាន់ទី25 ទេសភាពស្អាត ខ្យល់ត្រជាក់ ជាប់sky bar ជាន់ទី​27!,"$59,000","Condo សំរាប់លក់​ ទីតាំងជ្រោយចង្វា បែមុខទៅទន្លេមេគង្គ​ សង់រូច អាចចូលនៅបាន

ប្លង់រឹង!​បង់រំលស់បាន

ប្រភេទstudio ទំហំ 33sqm​ ជាន់ទី25 អាចចូលនៅបាន!

បន្ទប់ទឺកធំស្អាត មានសំភារដូចជា ម៉ាស៊ីនត្រជាក់ ទទឹកកក និង​ទុរទស្ស40អីង​និងទូអាវមួយផងដែរ

តំលៃលក់ $59,000 ចរចារបាន! (តំលៃក្រុមហ៊ុន 65000 ជាន់ទី10)

ទំនាក់ទំនងលេខ
017988xxx 
ចុចដើម្បីតេ/Click To Call
/
012961xxx 
ចុចដើម្បីតេ/Click To Call



River-view studio condo for rent

Vincent condo studio on 25th floor with 180 degrees panaromic river-view. It is located at 📍 Chroy Changvar, Phnom Penh.

The building features a swimming pool, a gym, car parking lot, a sky bar(rooftop)

📐 Unit Size: 33 sqm net size

🏢 Unit Type: Studio condo

💲 Sale: $59000",Chroy Changvar,,,25.0
8547359,Condo for Sale,Phnom Penh,29-Jun-23,34,,,https://www.khmer24.com/en/property/urgent-condo-for-sale-studio-room-%E7%B4%A7%E6%80%A5%E5%87%BA%E5%94%AE%E5%85%AC%E5%AF%93%E5%8D%95%E9%97%B4-adid-8547359.html,Urgent Condo for Sale (Studio Room) 紧急出售公寓（单间）,"$60,000","Condo សំរាប់លក់​ ទីតាំងជ្រោយចង្វារ បែរមុខទៅទន្លេមេគង្គ មើលឃើញទេសភាពទន្លេ និងមើលកាំជ្រួច មានវេរ៉ង់ដាអាចស្រូបយកខ្យល់អាកាសបរិសុទ្ធ​ 

ទិញភ្លាមចូលនៅភ្លាម

ប្រភេទបន្ទប់ studio ទំហំ 34sqm​ ជាន់ទី22!



បន្ទប់ទឺកធំស្អាត មានសំភារដូចជា ម៉ាស៊ីនត្រជាក់ ទូរទឹកកក, ទូរទស្សន៍ និងទូខោអាវ និងវាំងននទើបបំពាក់



តំលៃលក់ $60,000



ទំនាក់ទំនងលេខ 
012259xxx 
ចុចដើម្បីតេ/Click To Call
/
012876xxx 
ចុចដើម្បីតេ/Click To Call



出售公寓 在Chroy Changvar区 公寓面向湄公河，可以眺望湄公河，看烟花，可以在游廊呼吸着新鲜空气。



立即购买 立即入住



单间公寓 有 34平方米，在22 楼！



宽敞和干净的浴室 单间配有空调、冰箱、电视、衣柜和新安装的窗帘等设施。



售价：60,000 美元



联系电话： 
012259xxx 
ចុចដើម្បីតេ/Click To Call
/
012876xxx 
ចុចដើម្បីតេ/Click To Call



River-view studio condo for sale with Mekong River View. Best place for river view and fireworks 🎇 during festival



Vincent condo studio on 22th floor with 180 degrees panaromic river-view. It is located at 📍 Chroy Changvar, Phnom Penh.

The room contains big bathroom, air-conditioning, fridge and 40 inchs TV and new curtains

The building features a swimming pool, a gym, car parking lot, a sky bar(rooftop)

📐 Unit Size: 34 sqm net size

🏢 Unit Type: Studio condo

💲 Sale: $60,000",Chroy Changvar,,,22.0
8601253,Condo for Sale,Phnom Penh,28-Feb-23,71,,,https://www.khmer24.com/en/property/mean-chey-999-condo-unique-for-sell-in-urgently-negotiate-adid-8601253.html,Mean Chey 999 condo unique for sell in Urgently (Negotiate),"$39,999","My home sweet home for sell... 

ផ្ទះជាទីស្រលាញ់របស់ខ្ញុំ...



ខនដូ សម្រាប់លក់ជាបន្ទាន់ រួមជាមួយនឹងសម្ភារៈខ្លះ ដែលមានតម្លៃក្រោមទីផ្សារ!



- ទំហ 5.2 m x 13.6 = 70.72 sqm2

- បន្ទប់គេង 1 និងបន្ទប់ទឹក 2 ដែលមានភ្ជាប់ជាមួយនឹងម៉ាស៊ីនទឹកក្តៅ និងត្រជាក់នៅក្នុងបន្ទប់នីមួយៗស្រាប់

- បន្ទប់ទទួលភ្ញៀវ 1

- ចង្ក្រានបាយមួយឈុត

- ទូដាក់ខោអាវមួយឈុត

- ម៉ាស៊ីនត្រជាក់ 1 នៅក្នុងបន្ទប់គេង

- តុទ្រកន្លែងដាក់ទូរទស្សន៍

- កាមេរ៉ាសុវត្ថិភាព 1



អាសយដ្ឋាន: អាគារទី 1, បន្ទប់ 606 A, ផ្លូវ 21 BT, ភូមិ សន្សំកុសល 1, សង្កាត់ បឹងទំពុន, ខ័ណ្ឌ មានជ័យ, ភ្នំពេញ



ដូច្នេះ បេីអ្នកទាំងអស់គ្នាចាប់អារម្មណ៌ ឬចង់មកមេីលផ្ទាល់ សូមទាក់ទងមកលេខទូរស័ព ឬអុីមែលផ្ទាល់ខ្លួនរបស់ខ្ញុំ នៅខាងក្រោម ។

លេខទូរស័ព្ទ: 
098717xxx 
ចុចដើម្បីតេ/Click To Call
, 
016260xxx 
ចុចដើម្បីតេ/Click To Call

អុីមែល        : 
phe*******@yahoo.com 
ចុចដើម្បីផ្ញើអ៊ីម៉ែល/Click To Send Email



រីករាយសម្រាប់ការខល ឬអុីមែលរបស់អ្នកទាំងអស់គ្នាគ្រប់

ពេល។

អរគុណធំៗ!!!



*** សូមបញ្ជាក់ថា ខ្ញុំលក់ផ្ទះនេះ ជាកម្មសិទ្ធិផ្ទាល់របស់ខ្ញុំ មិនមែនលក់ឲ្យក្រុមហ៊ុននោះទេ។ ហើយមូលហេតុដែលខ្ញុំលក់មិនមែនដោយសារមានបញ្ហា ឬជាប់ពាក់ព័ន្ធករណីខុសច្បាប់ណាមួយឡើយ ប៉ុន្តែខ្ញុំលក់ដោយបង្ខំចិត្ត ព្រោះដោះស្រាយបញ្ហាផ្ទាល់ខ្លួន។ សូមអរគុណ!!!



Mean Chey 999 condo unique with some furnitures for sell in Emergency! Buy now can stay now, don't need to wait. The price is under the market price.



I have condo for sell in Urgent! it's on the 6th floor, kind A, size 5.2m x 13.6m = 70.72 m2, high 3.2m. My room has:

- 1 living room 

- 1 bedroom

- 2 bathrooms with installed hot and cold water machines

- 1 air conditioner in bedroom

- 1 set of kitchen

- 1 wardrobe or closet

- wall shelve for put TV in the bedroom

- security camera



Address: Building #1, Road 21BT, Sansom Kusal1 Villege, Bueong Tompun District, Mean Chey County, Phnom Penh.



Contact numbers: - 
098717xxx 
ចុចដើម្បីតេ/Click To Call

                                 - 
016260xxx 
ចុចដើម្បីតេ/Click To Call



So hurry up, this is a good price because this is a good location for living and also it's developing area that have so many people living there. The price is gonna be increase more and more after the second and third buildings are done. If everybody interest it, you can call me anytime (daytime, of course). Always be happy to receive your call, foreigner or Khmer.

Please, enjoy looking the room pictures of the condo.



***I am selling my own condo, not for a company. The reason I wanted to sell it because I wanted to solve my own business in urgently.



Thank you!",Mean Chey,1.0,2.0,6.0
8604997,Condo for Sale,Phnom Penh,28-Feb-23,103,,,https://www.khmer24.com/en/property/condo-unique-for-sale-adid-8604997.html,Condo unique for sale,"$85,000","ខុនដូកែង សំរាប់លក់ រួមជាមួយនឹងសម្ភារៈខ្លះៗ ដែលមានតម្លៃក្រោមទីផ្សារ!



- ទំហ 102.96 m2

- បន្ទប់គេង 2 និងបន្ទប់ទឹក 3 ដែលមានភ្ជាប់ជាមួយនឹងម៉ាស៊ីនទឹកក្តៅ និងត្រជាក់នៅក្នុងបន្ទប់នីមួយៗស្រាប់

- បន្ទប់ទទួលភ្ញៀវធំទួូលាយ

- ចង្ក្រានបាយមួយឈុត

- ទូដាក់ខោអាវ

- តុទ្រកន្លែងដាក់ទូរទស្សន៍

- កាមេរ៉ាសុវត្ថិភាព 1



អាសយដ្ឋាន: អាគារទី 1, បន្ទប់ 608 A, ផ្លូវ 21 BT, ភូមិ សន្សំកុសល 1, សង្កាត់ បឹងទំពុន, ខ័ណ្ឌ មានជ័យ, ភ្នំពេញ



ដូច្នេះ បេីអ្នកទាំងអស់គ្នាចាប់អារម្មណ៌ ឬចង់មកមេីលផ្ទាល់ សូមទាក់ទងមកលេខទូរស័ព ឬអុីមែលផ្ទាល់ខ្លួនរបស់ខ្ញុំ នៅខាងក្រោម ។

លេខទូរស័ព្ទ: 
098717xxx 
ចុចដើម្បីតេ/Click To Call
, 
016260xxx 
ចុចដើម្បីតេ/Click To Call

អុីមែល        : 
phe*******@yahoo.com 
ចុចដើម្បីផ្ញើអ៊ីម៉ែល/Click To Send Email



រីករាយសម្រាប់ការខល ឬអុីមែលរបស់អ្នកទាំងអស់គ្នាគ្រប់ពេល។

អរគុណធំៗ!!!



Condo at the corner for sale!!!



Mean Chey 999 condo unique with some furnitures for sell in Emergency! Buy now can stay now, don't need to wait. The price is under the market price. (negotiated)



I have condo for sell in Urgent! it's on the 6th floor, kind A, size 102.96 m2, high 3.2m. The room has:

- A wide living room 

- 2 bedroom

- 3 bathrooms with installed hot and cold water machines

- 1 set of kitchen

- 1 wardrobe or closet

- wall shelve for put TV in the bedroom

- security camera



Address: Building #1, No. 608 A, Road 21BT, Sansom Kusal1 Villege, Bueong Tompun District, Mean Chey County, Phnom Penh.



Contact numbers: - 
098717xxx 
ចុចដើម្បីតេ/Click To Call

                                - 
016260xxx 
ចុចដើម្បីតេ/Click To Call



So hurry up, this is a good price because this is a good location for living and also it's developing area that have so many people living there. The price is gonna be increase more and more after the second and third buildings are done. If everybody interest it, you can call me anytime (daytime, of course). Always be happy to receive your call, foreigner or Khmer.

Please, enjoy looking the room pictures of the condo.



Thank you",Mean Chey,2.0,3.0,6.0
8611905,Condo for Sale,Phnom Penh,07-Jul-23,47,,,https://www.khmer24.com/en/property/%E1%9E%9B%E1%9E%80-condo-%E1%9E%95%E1%9E%91%E1%9E%9B%E1%9E%81%E1%9E%9B%E1%9E%93-%E1%9E%82%E1%9E%98%E1%9E%9A%E1%9E%84-%E1%9E%A2%E1%9E%9B-%E1%9E%90%E1%9E%9C-l-tower-personal-condo-for-sale-adid-8611905.html,លក់ condo ផ្ទាល់ខ្លួន / គម្រោង អិល ថៅវី (L Tower) ​/ Personal condo for sale,"$62,000","លក់ condo ផ្ទាល់ខ្លួន / គម្រោង អិល ថៅវី (L Tower) 



ទីតាំង៖ ផ្លូវ ២៧១ នៅជិតផ្សារទួលទំពូង ផ្លូវ 60m និង Aeon 3



ទំហំ និងជាន់ condo៖ 46.5 m2 (2ជាន់ និងនៅជាន់ទី ១៦)។ សាងសង់ដល់ជាន់ទី ៧ ហើយ។ 



តម្លៃលក់៖ 62000 ដុល្លារ (ចរចាបាន)។ បង់មុនត្រឹមជាង 10.000 ដុល្លារ និងបង់តជាមួយម្ចាស់គម្រោង។



បង់ប្រចាំខែ៖ ត្រឹមតែ 341 ដុល្លារ



លេខ Telegram: 
010610xxx 
ចុចដើម្បីតេ/Click To Call



Name: L Tower Loft Condo (2 Floors), on Street 271. Close to Toul Tom Poung market, Street 60m and Aeon 3). 



Net area: 46.5 m2



Price: USD 62000. Monthly payment: only 341. 



My Telegram: 
010610xxx 
ចុចដើម្បីតេ/Click To Call",Sen Sok,,,16.0
