JobType,PositionLevel,Location,WorkingExperience,Qualification,min_age,max_age,Salary_min,Salary_max
Full Time,Kindergarten,Phnom Penh,1,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Fresh,Bavet,1,Professional,18.0,40.0,201.0,500.0
Full Time,Fresh,Bavet,0,Others,18.0,40.0,201.0,500.0
Full Time,Fresh,Bavet,0,Others,18.0,40.0,201.0,500.0
Full Time,Senior Executive,Bavet,5,Bachelor,18.0,45.0,501.0,1000.0
Full Time,Junior Executive,Bavet,2,Bachelor,18.0,40.0,201.0,500.0
Full Time,Junior Executive,Bavet,2,Bachelor,18.0,40.0,201.0,500.0
Full Time,Junior Executive,Bavet,1,Bachelor,18.0,40.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,25.0,40.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,0,Others,18.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Others,18.0,40.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Associate,25.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Associate,25.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Fresh,Phnom Penh,1,Bachelor,18.0,30.0,201.0,500.0
Full Time,Fresh,Kampong Cham,1,Bachelor,22.0,35.0,201.0,500.0
Full Time,Fresh,Kampong Cham,1,Bachelor,22.0,35.0,201.0,500.0
Full Time,Fresh,Phnom Penh,1,Bachelor,20.0,34.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,25.0,35.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,0,Bacc2,20.0,35.0,1001.0,1500.0
Full Time,Fresh,Phnom Penh,2,No,20.0,45.0,201.0,500.0
Full Time,Fresh,Phnom Penh,0,Bacc2,20.0,35.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,0,Bacc2,20.0,35.0,201.0,500.0
Full Time,Senior Executive,Preah Sihanouk,2,Bachelor,30.0,50.0,501.0,1000.0
Full Time,Junior Executive,Preah Sihanouk,2,Bachelor,25.0,35.0,201.0,500.0
Full Time,Fresh,Kandal,1,Associate,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,23.0,35.0,201.0,500.0
Full Time,Fresh,Phnom Penh,0,Bachelor,22.0,30.0,201.0,500.0
Temporary Contract,Senior Executive,Battambang,2,No,20.0,40.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,2,Bachelor,20.0,45.0,201.0,500.0
Full Time,Fresh,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Manager,Battambang,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Others,18.0,50.0,201.0,500.0
Full Time,Fresh,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Fresh,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,1,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,28.0,45.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,30.0,501.0,1000.0
