Date,Price
2002-01-03,3835.0
2002-01-04,3836.0
2002-01-05,3837.0
2002-01-06,3838.0
2002-01-07,3839.0
2002-01-08,3840.0
2002-01-09,3841.0
2002-01-10,3842.0
2002-01-11,3843.0
2002-01-12,3844.0
2002-01-13,3845.0
2002-01-14,3846.0
2002-01-15,3847.0
2002-01-16,3848.0
2002-01-17,3849.0
2002-01-18,3850.0
2002-01-19,3851.0
2002-01-20,3852.0
2002-01-21,3853.0
2002-01-22,3854.0
2002-01-23,3855.0
2002-01-24,3856.0
2002-01-25,3857.0
2002-01-26,3858.0
2002-01-27,3859.0
2002-01-28,3860.0
2002-01-29,3861.0
2002-01-30,3862.0
2002-01-31,3863.0
2002-02-01,3864.0
2002-02-02,3865.0
2002-02-03,3866.0
2002-02-04,3867.0
2002-02-05,3868.0
2002-02-06,3869.0
2002-02-07,3870.0
2002-02-08,3871.0
2002-02-09,3872.0
2002-02-10,3873.0
2002-02-11,3874.0
2002-02-12,3875.0
2002-02-13,3876.0
2002-02-14,3877.0
2002-02-15,3878.0
2002-02-16,3879.0
2002-02-17,3880.0
2002-02-18,3881.0
2002-02-19,3882.0
2002-02-20,3883.0
2002-02-21,3884.0
2002-02-22,3885.0
2002-02-23,3886.0
2002-02-24,3887.0
2002-02-25,3888.0
2002-02-26,3889.0
2002-02-27,3890.0
2002-02-28,3891.0
2002-03-01,3892.0
2002-03-02,3893.0
2002-03-03,3894.0
2002-03-04,3895.0
2002-03-05,3896.0
2002-03-06,3897.0
2002-03-07,3898.0
2002-03-08,3899.0
2002-03-09,3900.0
2002-03-10,3901.0
2002-03-11,3902.0
2002-03-12,3903.0
2002-03-13,3904.0
2002-03-14,3905.0
2002-03-15,3906.0
2002-03-16,3907.0
2002-03-17,3908.0
2002-03-18,3909.0
2002-03-19,3910.0
2002-03-20,3911.0
2002-03-21,3912.0
2002-03-22,3913.0
2002-03-23,3914.0
2002-03-24,3915.0
2002-03-25,3916.0
2002-03-26,3917.0
2002-03-27,3918.0
2002-03-28,3919.0
2002-03-29,3920.0
2002-03-30,3921.0
2002-03-31,3922.0
2002-04-01,3923.0
2002-04-02,3924.0
2002-04-03,3925.0
2002-04-04,3926.0
2002-04-05,3927.0
2002-04-06,3928.0
2002-04-07,3929.0
2002-04-08,3930.0
2002-04-09,3931.0
2002-04-10,3932.0
2002-04-11,3933.0
2002-04-12,3934.0
2002-04-13,3935.0
2002-04-14,3936.0
2002-04-15,3937.0
2002-04-16,3938.0
2002-04-17,3939.0
2002-04-18,3940.0
2002-04-19,3941.0
2002-04-20,3942.0
2002-04-21,3943.0
2002-04-22,3944.0
2002-04-23,3945.0
2002-04-24,3946.0
2002-04-25,3947.0
2002-04-26,3948.0
2002-04-27,3949.0
2002-04-28,3950.0
2002-04-29,3951.0
2002-04-30,3952.0
2002-05-01,3953.0
2002-05-02,3954.0
2002-05-03,3955.0
2002-05-04,3956.0
2002-05-05,3957.0
2002-05-06,3958.0
2002-05-07,3959.0
2002-05-08,3960.0
2002-05-09,3961.0
2002-05-10,3962.0
2002-05-11,3963.0
2002-05-12,3964.0
2002-05-13,3965.0
2002-05-14,3966.0
2002-05-15,3967.0
2002-05-16,3968.0
2002-05-17,3969.0
2002-05-18,3970.0
2002-05-19,3971.0
2002-05-20,3972.0
2002-05-21,3973.0
2002-05-22,3974.0
2002-05-23,3975.0
2002-05-24,3976.0
2002-05-25,3977.0
2002-05-26,3978.0
2002-05-27,3979.0
2002-05-28,3980.0
2002-05-29,3981.0
2002-05-30,3982.0
2002-05-31,3983.0
2002-06-01,3984.0
2002-06-02,3985.0
2002-06-03,3986.0
2002-06-04,3987.0
2002-06-05,3988.0
2002-06-06,3989.0
2002-06-07,3990.0
2002-06-08,3991.0
2002-06-09,3992.0
2002-06-10,3993.0
2002-06-11,3994.0
2002-06-12,3995.0
2002-06-13,3996.0
2002-06-14,3997.0
2002-06-15,3998.0
2002-06-16,3999.0
2002-06-17,4000.0
2002-06-18,4001.0
2002-06-19,4002.0
2002-06-20,4003.0
2002-06-21,4004.0
2002-06-22,4005.0
2002-06-23,4006.0
2002-06-24,4007.0
2002-06-25,4008.0
2002-06-26,4009.0
2002-06-27,4010.0
2002-06-28,4011.0
2002-06-29,4012.0
2002-06-30,4013.0
2002-07-01,4014.0
2002-07-02,4015.0
2002-07-03,4016.0
2002-07-04,4017.0
2002-07-05,4018.0
2002-07-06,4019.0
2002-07-07,4020.0
2002-07-08,4021.0
2002-07-09,4022.0
2002-07-10,4023.0
2002-07-11,4024.0
2002-07-12,4025.0
2002-07-13,4026.0
2002-07-14,4027.0
2002-07-15,4028.0
2002-07-16,4029.0
2002-07-17,4030.0
2002-07-18,4031.0
2002-07-19,4032.0
2002-07-20,4033.0
2002-07-21,4034.0
2002-07-22,4035.0
2002-07-23,4036.0
2002-07-24,4037.0
2002-07-25,4038.0
2002-07-26,4039.0
2002-07-27,4040.0
2002-07-28,4041.0
2002-07-29,4042.0
2002-07-30,4043.0
2002-07-31,4044.0
2002-08-01,4045.0
2002-08-02,4046.0
2002-08-03,4047.0
2002-08-04,4048.0
2002-08-05,4049.0
2002-08-06,4050.0
2002-08-07,4051.0
2002-08-08,4052.0
2002-08-09,4053.0
2002-08-10,4054.0
2002-08-11,4055.0
2002-08-12,4056.0
2002-08-13,4057.0
2002-08-14,4058.0
2002-08-15,4059.0
2002-08-16,4060.0
2002-08-17,4061.0
2002-08-18,4062.0
2002-08-19,4063.0
2002-08-20,4064.0
2002-08-21,4065.0
2002-08-22,4066.0
2002-08-23,4067.0
2002-08-24,4068.0
2002-08-25,4069.0
2002-08-26,4070.0
2002-08-27,4071.0
2002-08-28,4072.0
2002-08-29,4073.0
2002-08-30,4074.0
2002-08-31,4075.0
2002-09-01,4076.0
2002-09-02,4077.0
2002-09-03,4078.0
2002-09-04,4079.0
2002-09-05,4080.0
2002-09-06,4081.0
2002-09-07,4082.0
2002-09-08,4083.0
2002-09-09,4084.0
2002-09-10,4085.0
2002-09-11,4086.0
2002-09-12,4087.0
2002-09-13,4088.0
2002-09-14,4089.0
2002-09-15,4090.0
2002-09-16,4091.0
2002-09-17,4092.0
2002-09-18,4093.0
2002-09-19,4094.0
2002-09-20,4095.0
2002-09-21,4096.0
2002-09-22,4097.0
2002-09-23,4098.0
2002-09-24,4099.0
2002-09-25,4100.0
2002-09-26,4101.0
2002-09-27,4102.0
2002-09-28,4103.0
2002-09-29,4104.0
2002-09-30,4105.0
2002-10-01,4106.0
2002-10-02,4107.0
2002-10-03,4108.0
2002-10-04,4109.0
2002-10-05,4110.0
2002-10-06,4111.0
2002-10-07,4112.0
2002-10-08,4113.0
2002-10-09,4114.0
2002-10-10,4115.0
2002-10-11,4116.0
2002-10-12,4117.0
2002-10-13,4118.0
2002-10-14,4119.0
2002-10-15,4120.0
2002-10-16,4121.0
2002-10-17,4122.0
2002-10-18,4123.0
2002-10-19,4124.0
2002-10-20,4125.0
2002-10-21,4126.0
2002-10-22,4127.0
2002-10-23,4128.0
2002-10-24,4129.0
2002-10-25,4130.0
2002-10-26,4131.0
2002-10-27,4132.0
2002-10-28,4133.0
2002-10-29,4134.0
2002-10-30,4135.0
2002-10-31,4136.0
2002-11-01,4137.0
2002-11-02,4138.0
2002-11-03,4139.0
2002-11-04,4140.0
2002-11-05,4141.0
2002-11-06,4142.0
2002-11-07,4143.0
2002-11-08,4144.0
2002-11-09,4145.0
2002-11-10,4146.0
2002-11-11,4147.0
2002-11-12,4148.0
2002-11-13,4149.0
2002-11-14,4150.0
2002-11-15,4151.0
2002-11-16,4152.0
2002-11-17,4153.0
2002-11-18,4154.0
2002-11-19,4155.0
2002-11-20,4156.0
2002-11-21,4157.0
2002-11-22,4158.0
2002-11-23,4159.0
2002-11-24,4160.0
2002-11-25,4161.0
2002-11-26,4162.0
2002-11-27,4163.0
2002-11-28,4164.0
2002-11-29,4165.0
2002-11-30,4166.0
2002-12-01,4167.0
2002-12-02,4168.0
2002-12-03,4169.0
2002-12-04,4170.0
2002-12-05,4171.0
2002-12-06,4172.0
2002-12-07,4173.0
2002-12-08,4174.0
2002-12-09,4175.0
2002-12-10,4176.0
2002-12-11,4177.0
2002-12-12,4178.0
2002-12-13,4179.0
2002-12-14,4180.0
2002-12-15,4181.0
2002-12-16,4182.0
2002-12-17,4183.0
2002-12-18,4184.0
2002-12-19,4185.0
2002-12-20,4186.0
2002-12-21,4187.0
2002-12-22,4188.0
2002-12-23,4189.0
2002-12-24,4190.0
2002-12-25,4191.0
2002-12-26,4192.0
2002-12-27,4193.0
2002-12-28,4194.0
2002-12-29,4195.0
2002-12-30,4196.0
2002-12-31,4197.0
2003-01-01,4198.0
2003-01-02,4199.0
2003-01-03,4200.0
2003-01-04,4201.0
2003-01-05,4202.0
2003-01-06,4203.0
2003-01-07,4204.0
2003-01-08,4205.0
2003-01-09,4206.0
2003-01-10,4207.0
2003-01-11,4208.0
2003-01-12,4209.0
2003-01-13,4210.0
2003-01-14,4211.0
2003-01-15,4212.0
2003-01-16,4213.0
2003-01-17,4214.0
2003-01-18,4215.0
2003-01-19,4216.0
2003-01-20,4217.0
2003-01-21,4218.0
2003-01-22,4219.0
2003-01-23,4220.0
2003-01-24,4221.0
2003-01-25,4222.0
2003-01-26,4223.0
2003-01-27,4224.0
2003-01-28,4225.0
2003-01-29,4226.0
2003-01-30,4227.0
2003-01-31,4228.0
2003-02-01,4229.0
2003-02-02,4230.0
2003-02-03,4231.0
2003-02-04,4232.0
2003-02-05,4233.0
2003-02-06,4234.0
2003-02-07,4235.0
2003-02-08,4236.0
2003-02-09,4237.0
2003-02-10,4238.0
2003-02-11,4239.0
2003-02-12,4240.0
2003-02-13,4241.0
2003-02-14,4242.0
2003-02-15,4243.0
2003-02-16,4244.0
2003-02-17,4245.0
2003-02-18,4246.0
2003-02-19,4247.0
2003-02-20,4248.0
2003-02-21,4249.0
2003-02-22,4250.0
2003-02-23,4251.0
2003-02-24,4252.0
2003-02-25,4253.0
2003-02-26,4254.0
2003-02-27,4255.0
2003-02-28,4256.0
2003-03-01,4257.0
2003-03-02,4258.0
2003-03-03,4259.0
2003-03-04,4260.0
2003-03-05,4261.0
2003-03-06,4262.0
2003-03-07,4263.0
2003-03-08,4264.0
2003-03-09,4265.0
2003-03-10,4266.0
2003-03-11,4267.0
2003-03-12,4268.0
2003-03-13,4269.0
2003-03-14,4270.0
2003-03-15,4271.0
2003-03-16,4272.0
2003-03-17,4273.0
2003-03-18,4274.0
2003-03-19,4275.0
2003-03-20,4276.0
2003-03-21,4277.0
2003-03-22,4278.0
2003-03-23,4279.0
2003-03-24,4280.0
2003-03-25,4281.0
2003-03-26,4282.0
2003-03-27,4283.0
2003-03-28,4284.0
2003-03-29,4285.0
2003-03-30,4286.0
2003-03-31,4287.0
2003-04-01,4288.0
2003-04-02,4289.0
2003-04-03,4290.0
2003-04-04,4291.0
2003-04-05,4292.0
2003-04-06,4293.0
2003-04-07,4294.0
2003-04-08,4295.0
2003-04-09,4296.0
2003-04-10,4297.0
2003-04-11,4298.0
2003-04-12,4299.0
2003-04-13,4300.0
2003-04-14,4301.0
2003-04-15,4302.0
2003-04-16,4303.0
2003-04-17,4304.0
2003-04-18,4305.0
2003-04-19,4306.0
2003-04-20,4307.0
2003-04-21,4308.0
2003-04-22,4309.0
2003-04-23,4310.0
2003-04-24,4311.0
2003-04-25,4312.0
2003-04-26,4313.0
2003-04-27,4314.0
2003-04-28,4315.0
2003-04-29,4316.0
2003-04-30,4317.0
2003-05-01,4318.0
2003-05-02,4319.0
2003-05-03,4320.0
2003-05-04,4321.0
2003-05-05,4322.0
2003-05-06,4323.0
2003-05-07,4324.0
2003-05-08,4325.0
2003-05-09,4326.0
2003-05-10,4327.0
2003-05-11,4328.0
2003-05-12,4329.0
2003-05-13,4330.0
2003-05-14,4331.0
2003-05-15,4332.0
2003-05-16,4333.0
2003-05-17,4334.0
2003-05-18,4335.0
2003-05-19,4336.0
