Date,Price
2006-01-01,4000.0
2006-01-02,4000.0
2006-01-03,4005.0
2006-01-04,4000.0
2006-01-05,4000.0
2006-01-06,4005.0
2006-01-07,4003.333333
2006-01-08,4001.666667
2006-01-09,4000.0
2006-01-10,4005.0
2006-01-11,4000.0
2006-01-12,4005.0
2006-01-13,4000.0
2006-01-14,4001.666667
2006-01-15,4003.333333
2006-01-16,4005.0
2006-01-17,4000.0
2006-01-18,4005.0
2006-01-19,4005.0
2006-01-20,4005.0
2006-01-21,4020.0
2006-01-22,4035.0
2006-01-23,4050.0
2006-01-24,4065.0
2006-01-25,4065.0
2006-01-26,4065.0
2006-01-27,4060.0
2006-01-28,4060.0
2006-01-29,4060.0
2006-01-30,4060.0
2006-01-31,4060.0
2006-02-01,4065.0
2006-02-02,4065.0
2006-02-03,4065.0
2006-02-04,4065.0
2006-02-05,4065.0
2006-02-06,4065.0
2006-02-07,4060.0
2006-02-08,4055.0
2006-02-09,4050.0
2006-02-10,4050.0
2006-02-11,4051.666667
2006-02-12,4053.333333
2006-02-13,4055.0
2006-02-14,4055.0
2006-02-15,4050.0
2006-02-16,4045.0
2006-02-17,4045.0
2006-02-18,4045.0
2006-02-19,4045.0
2006-02-20,4045.0
2006-02-21,4045.0
2006-02-22,4045.0
2006-02-23,4045.0
2006-02-24,4045.0
2006-02-25,4045.0
2006-02-26,4045.0
2006-02-27,4045.0
2006-02-28,4045.0
2006-03-01,4045.0
2006-03-02,4050.0
2006-03-03,4005.0
2006-03-04,4005.0
2006-03-05,4005.0
2006-03-06,4005.0
2006-03-07,4010.0
2006-03-08,4015.0
2006-03-09,4005.0
2006-03-10,4045.0
2006-03-11,4045.0
2006-03-12,4045.0
2006-03-13,4045.0
2006-03-14,4040.0
2006-03-15,4065.0
2006-03-16,4005.0
2006-03-17,4005.0
2006-03-18,4003.333333
2006-03-19,4001.666667
2006-03-20,4000.0
2006-03-21,4005.0
2006-03-22,4005.0
2006-03-23,4000.0
2006-03-24,4005.0
2006-03-25,4003.333333
2006-03-26,4001.666667
2006-03-27,4000.0
2006-03-28,4005.0
2006-03-29,4000.0
2006-03-30,4000.0
2006-03-31,4000.0
2006-04-01,4001.666667
2006-04-02,4003.333333
2006-04-03,4005.0
2006-04-04,4005.0
2006-04-05,4000.0
2006-04-06,4005.0
2006-04-07,4005.0
2006-04-08,4003.333333
2006-04-09,4001.666667
2006-04-10,4000.0
2006-04-11,4005.0
2006-04-12,4000.0
2006-04-13,4000.0
2006-04-14,4000.0
2006-04-15,4001.666667
2006-04-16,4003.333333
2006-04-17,4005.0
2006-04-18,4010.0
2006-04-19,4015.0
2006-04-20,4015.0
2006-04-21,4010.0
2006-04-22,4008.333333
2006-04-23,4006.666667
2006-04-24,4005.0
2006-04-25,4005.0
2006-04-26,4050.0
2006-04-27,4050.0
2006-04-28,4055.0
2006-04-29,4053.333333
2006-04-30,4051.666667
2006-05-01,4050.0
2006-05-02,4055.0
2006-05-03,4055.0
2006-05-04,4050.0
2006-05-05,4045.0
2006-05-06,4038.333333
2006-05-07,4031.666667
2006-05-08,4025.0
2006-05-09,4025.0
2006-05-10,4020.0
2006-05-11,4025.0
2006-05-12,4025.0
2006-05-13,4025.0
2006-05-14,4025.0
